Organizations-Enhanced 	Record Count	% of 1051
UNIVERSITY OF CALIFORNIA SYSTEM	87	8.278
VRIJE UNIVERSITEIT AMSTERDAM	71	6.755
UNIVERSITY OF CALIFORNIA SAN FRANCISCO	54	5.138
HARVARD UNIVERSITY	46	4.377
TILBURG UNIVERSITY	42	3.996
DEAKIN UNIVERSITY	37	3.520
VA BOSTON HEALTHCARE SYSTEM	37	3.520
PENNSYLVANIA COMMONWEALTH SYSTEM OF HIGHER EDUCATION PCSHE	30	2.854
VU UNIVERSITY MEDICAL CENTER	30	2.854
UNIVERSITY OF CALIFORNIA SAN DIEGO	29	2.759
UNIVERSITY OF LONDON	29	2.759
JOSLIN DIABETES CENTER INC	27	2.569
NATIONAL INSTITUTES OF HEALTH NIH USA	27	2.569
UNIVERSITY OF AMSTERDAM	27	2.569
AHP RES	24	2.284
BEHAV DIABET INST	24	2.284
STENO DIABETES CENTER	24	2.284
YALE UNIVERSITY	22	2.093
ACADEMIC MEDICAL CENTER AMSTERDAM	20	1.903
UNIVERSITY OF MICHIGAN	19	1.808
UNIVERSITY OF MICHIGAN SYSTEM	19	1.808
US DEPARTMENT OF VETERAN AFFAIRS	19	1.808
CENTERS FOR DISEASE CONTROL PREVENTION USA	18	1.713
UNIVERSITY OF PITTSBURGH	18	1.713
UNIVERSITY OF ILLINOIS SYSTEM	17	1.618
KINGS COLLEGE LONDON	16	1.522
NOVO NORDISK	16	1.522
TENRI HOSPITAL	16	1.522
UNIVERSITY OF PENNSYLVANIA	16	1.522
UTRECHT UNIVERSITY	16	1.522
VANDERBILT UNIVERSITY	16	1.522
UNIVERSITY OF COLORADO SYSTEM	15	1.427
UNIVERSITY OF ILLINOIS CHICAGO	15	1.427
UNIVERSITY OF ILLINOIS CHICAGO HOSPITAL	15	1.427
UNIVERSITY OF NORTH CAROLINA	15	1.427
AUSTRALIAN CTR BEHAV RES DIABET	14	1.332
KAISER PERMANENTE	14	1.332
MEDICAL UNIVERSITY OF SOUTH CAROLINA	14	1.332
STANFORD UNIVERSITY	14	1.332
UNIVERSITY OF TORONTO	14	1.332
OREGON RESEARCH INSTITUTE	13	1.237
UNIVERSITY OF COLORADO HEALTH SCIENCE CENTER	13	1.237
UNIVERSITY OF COPENHAGEN	13	1.237
UNIVERSITY OF MELBOURNE	13	1.237
UNIVERSITY OF SYDNEY	13	1.237
UTRECHT UNIVERSITY MEDICAL CENTER	13	1.237
COLUMBIA UNIVERSITY	12	1.142
KAROLINSKA INSTITUTET	12	1.142
NORTHWESTERN UNIVERSITY	12	1.142
PENN STATE UNIVERSITY	12	1.142
STATE UNIVERSITY OF NEW YORK SUNY SYSTEM	12	1.142
