Source Titles 	Record Count	% of 1051
DIABETIC MEDICINE	106	10.086
DIABETES CARE	93	8.849
DIABETES RESEARCH AND CLINICAL PRACTICE	59	5.614
DIABETES EDUCATOR	40	3.806
JOURNAL OF DIABETES AND ITS COMPLICATIONS	31	2.950
JOURNAL OF PSYCHOSOMATIC RESEARCH	30	2.854
PATIENT EDUCATION AND COUNSELING	25	2.379
DIABETES TECHNOLOGY THERAPEUTICS	22	2.093
CURRENT DIABETES REPORTS	20	1.903
BMC PUBLIC HEALTH	19	1.808
ACTA DIABETOLOGICA	16	1.522
HEALTH PSYCHOLOGY	16	1.522
JOURNAL OF DIABETES RESEARCH	13	1.237
PRIMARY CARE DIABETES	13	1.237
DIABETOLOGIA	12	1.142
JOURNAL OF AFFECTIVE DISORDERS	12	1.142
JOURNAL OF CLINICAL NURSING	12	1.142
PEDIATRIC DIABETES	12	1.142
CANADIAN JOURNAL OF DIABETES	11	1.047
QUALITY OF LIFE RESEARCH	11	1.047
BMC ENDOCRINE DISORDERS	10	0.951
DIABETES METABOLISM RESEARCH AND REVIEWS	8	0.761
ETHNICITY DISEASE	8	0.761
INTERNATIONAL JOURNAL OF NURSING STUDIES	8	0.761
JOURNAL OF ADVANCED NURSING	8	0.761
JOURNAL OF DIABETES INVESTIGATION	8	0.761
BMC PSYCHIATRY	7	0.666
FAMILIES SYSTEMS HEALTH	7	0.666
PREVENTING CHRONIC DISEASE	7	0.666
AGING MENTAL HEALTH	6	0.571
DIABETES METABOLISM	6	0.571
DIABETES THERAPY	6	0.571
DIABETOLOGY METABOLIC SYNDROME	6	0.571
GENERAL HOSPITAL PSYCHIATRY	6	0.571
HEART LUNG	6	0.571
INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH	6	0.571
PSYCHOLOGY HEALTH MEDICINE	6	0.571
EXPERIMENTAL AND CLINICAL ENDOCRINOLOGY DIABETES	5	0.476
INTERNATIONAL JOURNAL OF PSYCHIATRY IN MEDICINE	5	0.476
JOURNAL OF DIABETES	5	0.476
JOURNAL OF ENDOCRINOLOGICAL INVESTIGATION	5	0.476
JOURNAL OF EPIDEMIOLOGY AND COMMUNITY HEALTH	5	0.476
JOURNAL OF PEDIATRIC ENDOCRINOLOGY METABOLISM	5	0.476
PSYCHONEUROENDOCRINOLOGY	5	0.476
PSYCHOSOMATIC MEDICINE	5	0.476
SOCIAL PSYCHIATRY AND PSYCHIATRIC EPIDEMIOLOGY	5	0.476
SOCIAL SCIENCE MEDICINE	5	0.476
AMERICAN JOURNAL OF PHYSIOLOGY ENDOCRINOLOGY AND METABOLISM	4	0.381
BEHAVIORAL MEDICINE	4	0.381
CLINICAL ENDOCRINOLOGY	4	0.381
DIABETES METABOLIC SYNDROME AND OBESITY TARGETS AND THERAPY	4	0.381
JOURNAL OF ADOLESCENT HEALTH	4	0.381
JOURNAL OF CLINICAL ENDOCRINOLOGY METABOLISM	4	0.381
JOURNAL OF DEVELOPMENTAL AND BEHAVIORAL PEDIATRICS	4	0.381
JOURNAL OF WOMENS HEALTH	4	0.381
NURSING RESEARCH	4	0.381
PSYCHIATRIA DANUBINA	4	0.381
PSYCHIATRY RESEARCH	4	0.381
PSYCHOLOGICAL MEDICINE	4	0.381
PSYCHOSOMATICS	4	0.381
AMERICAN JOURNAL OF GERIATRIC PSYCHIATRY	3	0.285
AMERICAN JOURNAL OF PREVENTIVE MEDICINE	3	0.285
APPLIED NURSING RESEARCH	3	0.285
BMJ OPEN DIABETES RESEARCH CARE	3	0.285
BRAIN BEHAVIOR AND IMMUNITY	3	0.285
CHILD CARE HEALTH AND DEVELOPMENT	3	0.285
CURRENT OPINION IN PSYCHIATRY	3	0.285
EUROPEAN JOURNAL OF PUBLIC HEALTH	3	0.285
HOLISTIC NURSING PRACTICE	3	0.285
INTERNATIONAL JOURNAL OF DIABETES IN DEVELOPING COUNTRIES	3	0.285
INTERNATIONAL JOURNAL OF EATING DISORDERS	3	0.285
INTERNATIONAL JOURNAL OF PUBLIC HEALTH	3	0.285
JOURNAL OF NURSING RESEARCH	3	0.285
JOURNAL OF PEDIATRIC NURSING NURSING CARE OF CHILDREN FAMILIES	3	0.285
JOURNAL OF PSYCHIATRIC RESEARCH	3	0.285
MCN THE AMERICAN JOURNAL OF MATERNAL CHILD NURSING	3	0.285
MEDICAL CARE	3	0.285
NEUROPSYCHIATRIC DISEASE AND TREATMENT	3	0.285
NURSING HEALTH SCIENCES	3	0.285
PREVENTIVE MEDICINE	3	0.285
RURAL AND REMOTE HEALTH	3	0.285
STRESS AND HEALTH	3	0.285
WORLDVIEWS ON EVIDENCE BASED NURSING	3	0.285
AMERICAN JOURNAL OF EPIDEMIOLOGY	2	0.190
AMERICAN JOURNAL OF TROPICAL MEDICINE AND HYGIENE	2	0.190
ANNALS OF GENERAL PSYCHIATRY	2	0.190
